City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Popondetta,PG,-8.7537,148.2534,81.81,67,100,6.71,overcast clouds
292,Hualmay,PE,-11.0964,-77.6139,65.5,91,43,3.27,scattered clouds
293,Waingapu,ID,-9.6567,120.2641,85.78,58,71,17.87,broken clouds
294,Prince Albert,CA,53.2001,-105.7677,44.55,49,20,11.5,light rain
295,Wuxue,CN,29.8506,115.5525,84.0,55,97,4.32,overcast clouds
296,Avera,US,33.194,-82.5271,80.47,53,69,7.63,broken clouds
297,Roswell,US,34.0232,-84.3616,74.55,72,1,3.44,clear sky
298,Bocanda,CI,7.0626,-4.4995,74.03,98,100,6.22,overcast clouds
299,Shirokiy,RU,49.758,129.523,62.78,44,29,6.2,scattered clouds
300,Zhigansk,RU,66.7697,123.3711,60.62,34,52,16.02,broken clouds
301,Agadir,MA,30.4202,-9.5982,64.85,91,11,1.21,few clouds
302,Morros,BR,-9.4467,-46.3003,66.58,46,2,2.04,clear sky
303,La Union,PE,-5.4,-80.75,71.92,77,11,8.61,few clouds
304,Meulaboh,ID,4.1363,96.1285,79.03,84,100,6.87,overcast clouds
305,Kokopo,PG,-4.352,152.2633,77.14,89,100,3.11,overcast clouds
306,Berlevag,NO,70.8578,29.0864,42.8,56,0,20.71,clear sky
307,Manzil Salim,TN,35.8567,8.4765,78.8,44,100,3.18,overcast clouds
308,Kortkeros,RU,61.8106,51.5806,42.8,36,32,0.63,scattered clouds
309,Jalpa,MX,21.6333,-102.9667,80.4,37,64,7.49,broken clouds
310,Gueugnon,FR,46.6036,4.0629,53.1,93,100,2.98,overcast clouds
311,Puerto Escondido,MX,15.85,-97.0667,82.76,73,99,4.47,overcast clouds
312,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.06,100,99,1.61,overcast clouds
313,Lima,PE,-12.0432,-77.0282,62.13,94,90,5.75,overcast clouds
314,Hailey,US,43.5196,-114.3153,44.46,76,1,5.75,clear sky
315,Nelson Bay,AU,-32.7167,152.15,68.0,54,0,1.99,clear sky
316,Carballo,ES,43.213,-8.691,53.87,95,62,2.08,light rain
317,Hanting,CN,36.7708,119.2108,86.9,17,0,12.19,clear sky
318,Shumerlya,RU,55.5005,46.4129,61.84,61,7,3.8,clear sky
319,Tatvan,TR,38.5067,42.2817,63.54,36,0,1.99,clear sky
320,Mbulu,TZ,-3.85,35.5333,55.44,83,85,7.83,overcast clouds
321,Kloulklubed,PW,7.0419,134.2556,84.7,73,33,11.05,scattered clouds
322,Mastic Beach,US,40.7668,-72.8521,70.03,92,40,1.01,scattered clouds
323,Khandyga,RU,62.6667,135.6,63.91,30,50,2.91,scattered clouds
324,Salvador,SV,13.8333,-88.9167,75.06,86,100,1.52,overcast clouds
325,Guisa,CU,20.255,-76.5386,73.71,96,52,3.65,broken clouds
326,Rawson,AR,-43.3002,-65.1023,50.49,73,100,11.81,light rain
327,Ust-Karsk,RU,52.7011,118.8077,48.0,87,100,5.32,light rain
328,Benjamin Hill,MX,30.1667,-111.1,76.87,17,94,4.25,overcast clouds
329,Eagle Pass,US,28.7091,-100.4995,83.25,71,47,21.54,scattered clouds
330,Klaksvik,FO,62.2266,-6.589,40.12,77,98,13.87,overcast clouds
331,Lautaro,CL,-38.5167,-72.45,55.38,93,100,5.84,overcast clouds
332,Biscarrosse,FR,44.3945,-1.1672,52.34,93,0,5.12,clear sky
333,Huntsville,US,34.7304,-86.5861,71.19,93,1,5.99,clear sky
334,Banjar,ID,-8.19,114.9675,85.86,59,7,3.38,clear sky
335,Ilongero,TZ,-4.6667,34.8667,59.22,73,79,9.22,broken clouds
336,Lavrentiya,RU,65.5833,-171.0,37.45,72,55,12.95,broken clouds
337,Taoudenni,ML,22.6783,-3.9836,90.95,22,100,5.1,overcast clouds
338,Vanimo,PG,-2.6741,141.3028,85.82,67,38,9.73,scattered clouds
339,Luanda,AO,-8.8368,13.2343,78.8,78,75,2.3,broken clouds
340,Antofagasta,CL,-23.65,-70.4,58.28,65,100,2.46,overcast clouds
341,San Jose,US,37.3394,-121.895,57.34,77,1,8.05,clear sky
342,Ilulissat,GL,69.2167,-51.1,53.62,30,40,28.77,scattered clouds
343,Waverly,US,42.7392,-84.6208,57.47,74,1,11.5,clear sky
